"序号","审核点名称","审核要求","检查结果","结论说明","证据位置","证据摘录"
"1","项目经理高级职称要求","须提供项目经理具备高级工程师职称的证明。","已找到明确证据","候选文字明确记载项目经理及高级工程师职称，仍需人工复核证明材料。 引用第 1 页明确候选文字，并保留人工复核要求。 请人工核对职称材料的完整性及人员对应关系。","reasoning_proposal_text_layer.pdf > 第 1 页","合成示例声明：本页所有主体、人员、证书、服务和项目内容均为虚构，不对应任何真实客户、投标活动或个 人。  项目经理：张小鹿（虚构人员）  职称：高级工程师（合成字段）  近 6 个月连续社保证明：已提供（合成字段） 合成认证信息"
"2","项目经理近 6 个月社保证明要求","须提供项目经理近 6 个月连续社保证明。","已找到明确证据","候选文字明确记载近 6 个月连续社保证明，仍需人工复核月份连续性。 引用第 1 页明确候选文字，并保留人工复核要求。 请人工核对社保月份、人员姓名和材料完整性。","reasoning_proposal_text_layer.pdf > 第 1 页","合成示例声明：本页所有主体、人员、证书、服务和项目内容均为虚构，不对应任何真实客户、投标活动或个 人。  项目经理：张小鹿（虚构人员）  职称：高级工程师（合成字段）  近 6 个月连续社保证明：已提供（合成字段） 合成认证信息"
"3","免费软件升级服务期限要求","须承诺不少于 3 年免费软件升级服务。","疑似找到证据","候选文字包含 36个月、版本迭代、补丁更新和功能优化，但语义对应关系需人工复核。 引用第 2 页相关候选文字，不将近似表达自动视为等价。 请人工判断服务期限、费用边界和服务内容是否与检查要求对应。","reasoning_proposal_text_layer.pdf > 第 2 页","服务描述  服务周期：36 个月（合成期限）。  在服务周期内提供版本迭代、补丁更新和功能优化服务（合成描述）。 服务费用边界及术语对应关系未在本页进一步定义，需结合检查要求人工复核。"
"4","原厂授权函要求","须提供原厂授权函并明确授权范围和期限。","证据不足","候选文字仅描述原厂技术支持和授权协助，材料充分性需人工复核。 引用第 3 页相关候选文字，未见正式授权函字段。 请人工补查授权函、授权范围、授权期限及签发主体。","reasoning_proposal_text_layer.pdf > 第 3 页","合成示例声明：本页所有主体、人员、证书、服务和项目内容均为虚构，不对应任何真实客户、投标活动或个 人。  可协调原厂提供技术支持（合成描述）。  可根据项目需要提供授权协助（合成描述）。  现有文字未列示正式授权函编号、授权范围、授权期限或签发主体。 说明：以上内容只用于展示存在相关文字但材料不充分的人工复核场景，不代表任何真实授权关 系。"
"5","P1 故障响应时间一致性要求","P1 级故障响应时间应保持一致且不超过 30 分钟。","发现冲突证据","两个候选位置分别记载 30 分钟和 2 小时响应时限，需人工复核冲突。 同时引用第 4 页的两处候选文字，不自动选择其中一处。 请人工核对适用章节、服务级别和最终有效版本。","reasoning_proposal_text_layer.pdf > 第 4 页","售后服务章节（合成）  P1 级故障 30 分钟内响应。 本章节描述用于演示第一处候选文字，需与其他章节共同人工复核。"
"6","现场服务人员名单要求","须提供 2 名长期现场服务人员名单。","无法判断","候选文字仅指向附件三，缺少附件正文，需人工补充材料后复核。 引用第 5 页附件清单候选文字，现有文件不足以继续判断。 请人工补充附件三《现场服务人员名单》并核对人员数量和服务周期。","reasoning_proposal_text_layer.pdf > 第 5 页","附件清单（合成）  现场服务人员名单：详见附件三《现场服务人员名单》。 本合成文件未包含附件三正文，现有文字不足以核对人员数量和服务周期。"
"7","信息安全管理体系认证证书及有效期","须提供信息安全管理体系认证证书及有效期。","已找到明确证据","候选文字包含合成证书名称、编号和有效期，仍需人工复核字段对应关系。 引用第 1 页明确候选文字，并保留人工复核要求。 请人工核对证书字段、认证范围和材料完整性。","reasoning_proposal_text_layer.pdf > 第 1 页","合成认证信息 证书名称 证书编号 有效期 认证范围 信息安全管理体系认证证书 SYN-SEC-REASONING-2028年12月31日 智慧运维服务 2026 说明：以上人员、社保描述和证书字段均为合成内容，不包含真实证明、证书影像、签章或二维 码。 Reasoning Demo 合成示例 · 第 1 页 · 仅供公开演示与回归验证"
"8","培训次数要求","须提供不少于 3 次项目培训。","未找到证据","未检索到与检查要求对应的候选文字，需人工复核全文及附件目录。 候选证据列表为空，不据此扩展为其他结论。 请人工复核全文及未随 demo 提供的附件。","",""
"9","数据备份周期要求","须明确数据备份周期为每日或每周。","疑似找到证据","候选文字提到定期备份，但未给出每日或每周周期，需人工复核。 引用第 2 页模糊候选文字，不自动推断具体周期。 请人工核对备份频率、保留周期和恢复安排。","reasoning_proposal_text_layer.pdf > 第 2 页","数据保护描述  系统运行期间定期备份业务数据（合成描述）。 本页未给出具体备份频率，仅用于展示模糊候选文字的人工复核场景。"
"10","验收资料提交周期要求","须在 90 个自然日内提交终验资料。","已找到明确证据","候选文字明确记载 90 个自然日内提交终验资料，仍需人工复核起算口径。 引用第 5 页明确候选文字，并保留人工复核要求。 请人工核对时间起点、里程碑和资料范围。","reasoning_proposal_text_layer.pdf > 第 5 页","实施时限（合成）  90 个自然日内完成终验资料提交。 说明：附件引用和实施时限仅用于状态演示，不对应任何真实项目、合同或客户。"
